"350c4a42-0863-48fd-adf0-384ef0ceb134"	"universidade federal de sergipe, ufs"	"35737"	"área de pastagem em regeneração, solo raso e pedregoso."	-9.9675	-37.083056	"brasil"	"sergipe"	NA	"gararu"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
"3516156b-faa2-4a6b-8767-f4957688124a"	"cenargen"	"78591"	"parque ecológico jatobá centenário"	-17.726944	-49.133888	"brasil"	"go"	NA	"morrinhos"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
"3618b85c-abe2-49bb-82cd-797530bb317f"	"univasf"	"15449"	"lote 07, próximo ao reservatório cuncas. sitio antas 1. propriedade de seu zé bandeira. área testemunho da asv quixeramobim op1."	-7.068	-38.6441388888889	"brasil"	"paraíba"	NA	"são josé de piranhas"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
"396c6afa-00ef-46c0-8793-1eaf4fb2f0e6"	"univasf"	"20545"	"cabeceria do açude do roque, entrada da cidade"	-8.58086111111111	-41.4159444444444	"brasil"	"piauí"	NA	"queimada nova"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
"3b15f7e0-ba19-46e4-bcf0-23155a8ce22b"	"usp"	"203061"	"serra do cipó, afloramento de calcário explorado, entre inhame. e coberto."	-18.933017	-43.814988	"brasil"	"minas gerais"	NA	"santana do riacho"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
"3e07ff8d-3eb8-464a-aa62-d55d534098e9"	"cenargen"	"25630"	"margem da lagoa formosa."	-15.383333	-47.583333	"brasil"	"go"	NA	"formosa"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
"3fd66db2-46db-4255-a8ef-ba3bdfb82d48"	"cenargen"	"81097"	"uep - parnaíba da embrapa meio norte."	-3.0886111	-41.785	"brasil"	"pi"	NA	"parnaiba"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
"4275d282-5ce2-4885-9552-030c871b37d1"	"universidade do estado de mato grosso (unemat)"	"334"	"baía do malheiros, área antropizada entorno do fragmento vegetal da baía."	-16.057028	-57.684389	"brasil"	"mato grosso"	NA	"cáceres"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
"445e3150-60b4-4914-87ef-ecc0dca87cb9"	"cenargen"	"87684"	"brazlândia - sitio coité do cerrado"	-15.742222	-48.149722	"brasil"	"df"	NA	"brasilia"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
"4f4be2af-627f-4ea0-96dc-d656b0cf06be"	"cenargen"	"13301"	"fazenda estica, córrego galheirão."	-12.480555	-45.204444	"brasil"	"ba"	NA	"sao desiderio"	NA	"lamiaceae"	"mesosphaerum"	"suaveolens"	NA	"mesosphaerum suaveolens"
