Picea glauca
Picea pungens
Pinus sylvestris
Artemisia frigida
Lupinus argenteus
Galium boreale
Populus tremuloides
Salix bebbiana
Descurainia sophia
Shepherdia canadensis
Medicago sativa
Artemisia cana
Symphoricarpos occidentalis
Chenopodium album
Pinus contorta
Pinus ponderosa
Pseudotsuga menziesii
Artemisia tridentata
Pinus albicaulis
Abies lasiocarpa
Pinus monticola
Ceanothus velutinus
Verbascum thapsus
Purshia tridentata
Balsamorhiza sagittata
Ericameria nauseosa
Corylus cornuta
Holodiscus discolor
Alnus rubra
Clematis ligusticifolia
Caragana arborescens
Pinus banksiana
Ambrosia trifida
Pinus strobus
Thuja occidentalis
Fraxinus excelsior
Larix laricina
Ulmus americana
Comptonia peregrina
Pinus resinosa
Pinus rigida
Juglans nigra
Quercus rubra
Pinus nigra
Salix interior
Acer negundo
Ceanothus cuneatus
Adenostoma fasciculatum
Quercus chrysolepis
Larrea tridentata
Ceanothus greggii
Cercocarpus breviflorus
Parthenium incanum
Ephedra trifurca
Parthenium hysterophorus
Quercus grisea
Datura discolor
Eupatorium adenophorum
Quercus virginianus
Recchia mexicana
Ipomoea walcotiana
Buddleja wrightii
Quercus emoryi
Mimosa polyantha
Hyptis suaveolens
Eragrostis curvula
Quercus arizonica
Lycium pallidum
Acacia greggii
Prosopis juliflora
Picea engelmannii
Pinus flexilis
Ericameria bloomeri
Rhus microphylla
Quercus oblongifolia
Robinia neomexicanus
Quercus reticulata
Juniperus deppeana
Pinus chihuahuana
Quercus hypoleucoides
Solanum elaeagnifolium
Sarcobatus vermiculatus
Ephedra torreyana
Quercus turbinella
Abies concolor
Atriplex confertifolia
Berberis fremontii
Juniperus monosperma
Berberis haematocarpa
Cercocarpus montanus
Arctostaphylos pungens
Arctostaphylos pringlei
Cercidium floridum
Larrea divaricata
Lycium andersonii
Prunus andersonii
Chrysothamnus nauseosus
Quercus gambelii
Euphorbia albomarginata
Ambrosia ambrosioides
Hymenoclea monogyra
Garrya wrightii
Juniperus osteosperma
Cercocarpus betuloides
Cowania mexicana
Euphorbia polycarpa
Pleuraphis rigida
Ambrosia dumosa
Quercus alba
Quercus stellata
Erigeron canadensis
Cephalanthus occicentalis
Solidago altissima
Aster pilosus
Taxodium distichum
Ambrosia artemisiifolia
Croton capitatus
Oenothera laciniata
Helenium amarum
Juniperus chinensis
Carya illinoinensis
Quercus agrifolia
Eriodictyon californicum
Quercus lobata
Ceanothus integerrimus
Picea sitchensis
Psorothamnus emoryi
Dichoria canescens
Dicoria canescens
Dalea emoryi
Encelia farinosa
Hymenoclea salsola
Camissonia claviformis
Sphaeralcea ambigua
Bebbia juncea
Ambrosia acanthicarpa
Psorothamnus polydenius
Purshia glandulosa
Ephedra nevadensis
Quercus wislizeni
Tetradymia stenolepis
Fremontodendron californicum
Lycium cooperi
Quercus garryana
Juniperus occidentalis
Rhamnus crocea
Artemisia californica
Ambrosia psilostachya
Artemisia douglasiana
Sylibum marianum
Ambrosia confertiflora
Arctostaphylos viscida
Calocedrus decurrens
Libocedrus decurrens
Cercocarpus ledifolius
Iva axillaris
Quercus douglasii
Pinus radiata
Phacelia distans
Salvia mellifera
Quercus dumosa
Eriogonum fasciculatum
Ribes cereum
Eriodictyon crassifolium
Ceanothus crassifolius
Ceanothus crassifolia
Pinus monophylla
Olneya tesota
Sambucus mexicana
Galium angustifolium
Psorothamnus schotti
Amorpha californica
Salvia dorrii
Rhamnus californica
Stanleya pinnata
Gutierrezia sarothrae
Lupinus arboreus
Carduus pycnocephalus
Chrysothamnus viscidiflorus
Pseudoroegneria spicata
Agropyron spicatum
Chrysothamnus nauseosus consimilis
Pinus attenuata
Pinus aristata
Artemisia filifolia
Elymus cinereus
Geranium viscosissimum
Pinus edulis
Quercus virginiana
Spartina patens
Pinus clausa
Satureja ashei
Chrysoma pauciflosculosa
Pinus elliottii
Polygonella americana
Cheirodendron trigynum
Tetraplasandra meiandra
Acacia koa
Chenopodium oahuense
Ilex amnicola
Ilex anomala
Tetraplasandra gymnocarpa
Melicope clusiifolia
Cheirodendron kauaiense
Cheirodendron helleri
Tetraplasandra waianensis
Tetraplasandra hawaiensis
Cheirodendron hawaiiensis
Metrosideros polymorpha
Reynoldsia sandwicensis
Abies grandis
Betula nigra
Salix nigra
Polymnia canadensis
Platanus occidentalis
Salix longifolia
Picea abies
Oenothera speciosa
Glycine max
Pinus virginiana
Cornus drummondii
Carya illinoensis
Cornus stricta
Fraxinus pennsylvanica
Gleditsia triacanthos
Ampelopsis arborea
Acer saccharinum
Aesculus glabra
Heliomeris multiflora
Grayia spinosa
Tetradymia glabrata
Coleogyne ramosissima
Atriplex canescens
Symphoricarpos oreophilus
Hudsonia tomentosa
Tsuga canadensis
Quercus palustris
Betula populifolia
Corylus americana
Phlox subulata
Quercus phellus
Nyssa sylvatica
Quercus phellos
Juniperus virginiana
Galium aparine
Arenaria caroliniana
Vitis rotundifolia
Muhlenbergia reverchonii
Cardaria draba
Abies procera
Castanopsis chrysophylla
Fraxinus latifolia
Bromus mollis
Festuca arundinacea
Poa secunda
Abies amabilis
Amelanchier alnifolia
Larix decidua
Quercus ilicifolia
Hypericum lloydii
Muhlenbergia lindheimeri
Tiquilia greggii
Pinus cembroides
Atriplex matamorensis
Quercus undulata
Psorothamnus thompsonae
Rhus triloba
Tetradymia spinosa
