FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Pinus albicaulis		24900173	FullnameNoAuthors	Pinus albicaulis Engelm.	Trans. Acad. Sci. St. Louis	2: 209	2		209	1863		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:42204&volume=2&issue=&spage=209&date=1863	4415
	Abies lasiocarpa		24900140	FullnameNoAuthors	Abies lasiocarpa (Hook.) Nutt.	N. Amer. Sylv.	3: 138	3		138	1849		No opinion		4415
	Pinus monticola		24900034	FullnameNoAuthors	Pinus monticola Douglas ex D. Don	Descr. Pinus (ed. 3)	2: [unnumbered page between 144 and 145]	2		[unnumbered page between 144 and 145]	1832		No opinion		4415
	Ceanothus velutinus		27500299	FullnameNoAuthors	Ceanothus velutinus Douglas	Fl. Bor.-Amer.	1(3): 125, pl. 45	1	3	125	1831		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:691&volume=1&issue=3&spage=125&date=1831	4415
	Verbascum thapsus		29200424	FullnameNoAuthors	Verbascum thapsus L.	Sp. Pl.	1: 177	1		177	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=177&date=1753	4415
	Balsamorhiza sagittata		2709554	FullnameNoAuthors	Balsamorhiza sagittata (Pursh) Nutt.	Trans. Amer. Philos. Soc., n.s.	7: 350	7		350	1840		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:41515&volume=7&issue=&spage=350&date=1840	4415
	Cytisus scoparius		13029962	FullnameNoAuthors	Cytisus scoparius (L.) Link	Enum. Hort. Berol. Alt.	2: 241	2		241	1822		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:66&volume=2&issue=&spage=241&date=1822	4415
	Ericameria nauseosa		50086523	FullnameNoAuthors	Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & G.I. Baird	Phytologia	75(1): 84	75	1	84	1993		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:12678&volume=75&issue=1&spage=84&date=1993	4415
	Corylus cornuta		50271992	FullnameNoAuthors	Corylus cornuta Du Roi ex Steud.	Nomencl. Bot.	1: 229	1		229	1821		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:544&volume=1&issue=&spage=229&date=1821	4415
	Holodiscus discolor		27800278	FullnameNoAuthors	Holodiscus discolor (Pursh) Maxim.	Trudy Imp. S.-Peterburgsk. Bot. Sada	6(1): 254	6	1	254	1879		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:14650&volume=6&issue=1&spage=254&date=1879	4415
	Alnus rubra		3600058	FullnameNoAuthors	Alnus rubra Bong.	Mém. Acad. Imp. Sci. St.-Pétersbourg, Sér. 6, Sci. Math.	2(2): 162	2	2	162	1832		Legitimate		4415
	Sisymbrium altissimum		4100612	FullnameNoAuthors	Sisymbrium altissimum L.	Sp. Pl.	2: 659	2		659	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=659&date=1753	4415
	Clematis ligusticifolia		27100337	FullnameNoAuthors	Clematis ligusticifolia Nutt.	Fl. N. Amer.	1(1): 9	1	1	9	1838		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:9466&volume=1&issue=1&spage=9&date=1838	4415
	Caragana arborescens		13049161	FullnameNoAuthors	Caragana arborescens Lam.	Encycl.	1(2): 615	1	2	615	1785		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:824&volume=1&issue=2&spage=615&date=1785	4415
	Quercus macrocarpa		13100002	FullnameNoAuthors	Quercus macrocarpa Michx.	Hist. Chênes Amér.	pl. 2–3				1801		Legitimate		4415
	Ambrosia trifida		2700037	FullnameNoAuthors	Ambrosia trifida L.	Sp. Pl.	2: 987	2		987	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=987&date=1753	4415
	Pinus strobus		24900219	FullnameNoAuthors	Pinus strobus L.	Sp. Pl.	2: 1001	2		1001	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1001&date=1753	4415
	Thuja occidentalis		9400130	FullnameNoAuthors	Thuja occidentalis L.	Sp. Pl.	2: 1002	2		1002	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1002&date=1753	4415
	Fraxinus excelsior		23000019	FullnameNoAuthors	Fraxinus excelsior L.	Sp. Pl.	2: 1057	2		1057	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1057&date=1753	4415
	Gleditsia triacanthos		13001001	FullnameNoAuthors	Gleditsia triacanthos L.	Sp. Pl.	2: 1056–1057	2		1056	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1056&date=1753	4415
	Larix laricina		24900159	FullnameNoAuthors	Larix laricina (Du Roi) K. Koch	Dendrologie	2(2): 263	2	2	263	1873		No opinion		4415
	Ulmus americana		33300003	FullnameNoAuthors	Ulmus americana L.	Sp. Pl.	1: 226	1		226	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=226&date=1753	4415
	Comptonia peregrina		21700001	FullnameNoAuthors	Comptonia peregrina (L.) J.M. Coult.	Mem. Torrey Bot. Club	5(9): 127	5	9	127	1894		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:45469&volume=5&issue=9&spage=127&date=1894	4415
	Robinia pseudoacacia		13032749	FullnameNoAuthors	Robinia pseudoacacia L.	Sp. Pl.	2: 722	2		722	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=722&date=1753	4415
	Juniperus virginiana		9400157	FullnameNoAuthors	Juniperus virginiana L.	Sp. Pl.	2: 1039	2		1039	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1039&date=1753	4415
	Tilia americana		32200184	FullnameNoAuthors	Tilia americana L.	Sp. Pl.	1: 514	1		514	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=514&date=1753	4415
	Pinus resinosa		24900212	FullnameNoAuthors	Pinus resinosa Aiton	Hort. Kew.	3: 367	3		367	1789		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:4504&volume=3&issue=&spage=367&date=1789	4415
	Pinus rigida		24900213	FullnameNoAuthors	Pinus rigida Mill.	Gard. Dict. (ed. 8)	no. 10			no. 10	1768		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:541&volume=&issue=&spage=no. 10&date=1768	4415
	Picea abies		24900164	FullnameNoAuthors	Picea abies (L.) H. Karst.	Deut. Fl.	2/3: 324	2/3		324	1881		No opinion		4415
	Juglans nigra		16700006	FullnameNoAuthors	Juglans nigra L.	Sp. Pl.	2: 997	2		997	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=997&date=1753	4415
	Quercus rubra		13100118	FullnameNoAuthors	Quercus rubra L.	Sp. Pl.	2: 996	2		996	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=996&date=1753	4415
	Pinus nigra		24900203	FullnameNoAuthors	Pinus nigra J.F. Arnold	Reise Mariazell	8, pl. s.n.			8	1785		Legitimate		4415
	Acer negundo		200001	FullnameNoAuthors	Acer negundo L.	Sp. Pl.	2: 1056	2		1056	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1056&date=1753	4415
	Ambrosia dumosa		2709269	FullnameNoAuthors	Ambrosia dumosa (A. Gray) W.W. Payne	J. Arnold Arbor.	45(4): 422	45	4	422	1964		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:480&volume=45&issue=4&spage=422&date=1964	4415
	Atriplex canescens		7200079	FullnameNoAuthors	Atriplex canescens (Pursh) Nutt.	Gen. N. Amer. Pl.	1: 197	1		197	1818		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:290&volume=1&issue=&spage=197&date=1818	4415
	Prosopis juliflora		13032104	FullnameNoAuthors	Prosopis juliflora (Sw.) DC.	Prodr.	2: 447	2		447	1825		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=2&issue=&spage=447&date=1825	4415
	Ceanothus cuneatus		27500219	FullnameNoAuthors	Ceanothus cuneatus (Hook.) Nutt.	Fl. N. Amer.	1(2): 267	1	2	267	1838		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:9466&volume=1&issue=2&spage=267&date=1838	4415
	Adenostoma fasciculatum		27801458	FullnameNoAuthors	Adenostoma fasciculatum Hook. & Arn.	Bot. Beechey Voy.	139			139	1841	1832	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:246&volume=&issue=&spage=139&date=1841	4415
	Lotus scoparius		13010104	FullnameNoAuthors	Lotus scoparius (Torr. & A. Gray) Ottley	Univ. Calif. Publ. Bot.	10(3): 227–229	10	3	227	1923		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:4268&volume=10&issue=3&spage=227&date=1923	4415
	Eriodictyon angustifolium		16200061	FullnameNoAuthors	Eriodictyon angustifolium Nutt.	J. Acad. Nat. Sci. Philadelphia, ser. 2	1: 181	1		181	1848		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:34362&volume=1&issue=&spage=181&date=1848	4415
	Eriogonum fasciculatum		26000537	FullnameNoAuthors	Eriogonum fasciculatum Benth.	Trans. Linn. Soc. London	17(3): 411	17	3	411	1836		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:683&volume=17&issue=3&spage=411&date=1836	4415
	Quercus chrysolepis		13100050	FullnameNoAuthors	Quercus chrysolepis Liebm.	Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider	1854: 173	1854		173	1854		No opinion		4415
	Pinus monophylla		24900033	FullnameNoAuthors	Pinus monophylla Torr. & Frém.	Rep. Exped. Rocky Mts.	2: 319, pl. 4	2		319	1845		No opinion		4415
	Larrea tridentata		34600049	FullnameNoAuthors	Larrea tridentata (DC.) Coville	Contr. U.S. Natl. Herb.	4: 75	4		75	1893		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:687&volume=4&issue=&spage=75&date=1893	4415
	Ceanothus greggii		27500240	FullnameNoAuthors	Ceanothus greggii A. Gray	Smithsonian Contr. Knowl.	5(6): 28	5	6	28	1853		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7997&volume=5&issue=6&spage=28&date=1853	4415
	Juniperus californica		9400374	FullnameNoAuthors	Juniperus californica Carrière	Rev. Hort.	3: 352	3		352	1854		No opinion		4415
	Cercocarpus breviflorus		50004456	FullnameNoAuthors	Cercocarpus breviflorus A. Gray	Smithsonian Contr. Knowl.	5(6): 54–55	5	6	54	1853		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7997&volume=5&issue=6&spage=54&date=1853	4415
	Chrysothamnus viscidiflorus		2702285	FullnameNoAuthors	Chrysothamnus viscidiflorus (Hook.) Nutt.	Trans. Amer. Philos. Soc., n.s.	7: 324	7		324	1840		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:41515&volume=7&issue=&spage=324&date=1840	4415
	Parthenium incanum		2702951	FullnameNoAuthors	Parthenium incanum Kunth	Nov. Gen. Sp. (folio ed.)	4: 204, pl. 391	4		204	1820	1818	No opinion		4415
	Ephedra trifurca		14300061	FullnameNoAuthors	Ephedra trifurca Torr. ex S. Watson	Botany (Fortieth Parallel)	329			329	1871		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:414&volume=&issue=&spage=329&date=1871	4415
	Parthenium hysterophorus		2701101	FullnameNoAuthors	Parthenium hysterophorus L.	Sp. Pl.	2: 988	2		988	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=988&date=1753	4415
	Quercus grisea		13100071	FullnameNoAuthors	Quercus grisea Liebm.	Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider	1854: 171	1854		171	1854		No opinion		4415
	Datura discolor		29602646	FullnameNoAuthors	Datura discolor Bernh.	Neues J. Pharm. Aerzte	26: 149	26		149	1833		No opinion		4415
	Eupatorium adenophorum		2702467	FullnameNoAuthors	Eupatorium adenophorum Spreng.	Syst. Veg. [Sprengel]	3: 420	3		420	1826		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:822&volume=3&issue=&spage=420&date=1826	4415
	Quercus virginianus														4415
	Recchia mexicana		29400049	FullnameNoAuthors	Recchia mexicana Moc. & Sessé ex DC.	Syst. Nat.	1: 411	1		411	1818	1817	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:59874&volume=1&issue=&spage=411&date=1818	4415
	Ipomoea walcotiana														4415
	Buddleja wrightii		50145856	FullnameNoAuthors	Buddleja wrightii B.L. Rob.	Bot. Gaz.	16(12): 341–342	16	12	341	1891		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:9540&volume=16&issue=12&spage=341&date=1891	4415
	Quercus emoryi		13100298	FullnameNoAuthors	Quercus emoryi Torr.	Not. Milit. Reconn.	151, pl. 9			151	1848		Legitimate		4415
	Pinus edulis		24900305	FullnameNoAuthors	Pinus edulis Engelm.	Mem. Tour N. Mexico	88			88	1848		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:41509&volume=&issue=&spage=88&date=1848	4415
	Mimosa polyantha		13056589	FullnameNoAuthors	Mimosa polyantha Benth.	J. Bot. (Hooker)	4(32): 410	4	32	410	1842		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:234&volume=4&issue=32&spage=410&date=1842	4415
	Hyptis suaveolens		17600091	FullnameNoAuthors	Hyptis suaveolens (L.) Poit.	Ann. Mus. Hist. Nat.	7: 472, pl. 29, f. 2	7		472	1806		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:41507&volume=7&issue=&spage=472&date=1806	4415
	Baccharis halimifolia		2709528	FullnameNoAuthors	Baccharis halimifolia L.	Sp. Pl.	2: 860–861	2		860	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=860&date=1753	4415
	Pinus virginiana		24900223	FullnameNoAuthors	Pinus virginiana Mill.	Gard. Dict. (ed. 8)	no. 9			no. 9	1768		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:541&volume=&issue=&spage=no. 9&date=1768	4415
	Eragrostis curvula		25509589	FullnameNoAuthors	Eragrostis curvula (Schrad.) Nees	Fl. Afr. Austral. Ill.	397			397	1841		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:7585&volume=&issue=&spage=397&date=1841	4415
	Quercus arizonica		13100030	FullnameNoAuthors	Quercus arizonica Sarg.	Gard. & Forest	8: 89	8		89	1895		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:50609&volume=8&issue=&spage=89&date=1895	4415
	Lycium pallidum		29600060	FullnameNoAuthors	Lycium pallidum Miers	Ann. Mag. Nat. Hist., ser. 2	14(80): 131–132	14	80	131	1854		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:15774&volume=14&issue=80&spage=131&date=1854	4415
	Quercus turbinella		13100149	FullnameNoAuthors	Quercus turbinella Greene	Ill. W. Amer. Oaks	1: 37, pl. 27	1		37	1889		No opinion		4415
	Fallugia paradoxa		27800862	FullnameNoAuthors	Fallugia paradoxa (D. Don) Endl. ex Torr.	Not. Milit. Reconn.	139			139	1848		No opinion		4415
	Acacia greggii		13000135	FullnameNoAuthors	Acacia greggii A. Gray	Smithsonian Contr. Knowl.	3(5): 65	3	5	65	1852		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7997&volume=3&issue=5&spage=65&date=1852	4415
	Picea engelmannii		24900166	FullnameNoAuthors	Picea engelmannii Parry ex Engelm.	Trans. Acad. Sci. St. Louis	2: 212	2		212	1863		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:42204&volume=2&issue=&spage=212&date=1863	4415
	Pinus flexilis		24900193	FullnameNoAuthors	Pinus flexilis E. James	Account Exped. Pittsburgh	2: 27, 34, 35	2		27	1823		Legitimate		4415
	Larrea divaricata		34600002	FullnameNoAuthors	Larrea divaricata Cav.	Anales Hist. Nat.	2(4): 122–123, pl. 19, f. 1	2	4	122	1800		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:162&volume=2&issue=4&spage=122&date=1800	4415
	Ericameria bloomeri		2738854	FullnameNoAuthors	Ericameria bloomeri (A. Gray) J.F. Macbr.	Contr. Gray Herb.	56: 36	56		36	1918		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:59986&volume=56&issue=&spage=36&date=1918	4415
	Rhus microphylla		1300179	FullnameNoAuthors	Rhus microphylla Engelm.	Smithsonian Contr. Knowl.	3(5): 31	3	5	31	1852		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7997&volume=3&issue=5&spage=31&date=1852	4415
	Robinia neomexicanus														4415
	Quercus undulata		13100152	FullnameNoAuthors	Quercus undulata Torr.	Ann. Lyceum Nat. Hist. New York	2: 248, pl. 4	2		248	1827		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:15987&volume=2&issue=&spage=248&date=1827	4415
	Quercus oblongifolia		13100395	FullnameNoAuthors	Quercus oblongifolia Torr.	Rep. Exped. Zuni Colorado Rivers	173, pl. 19 [as "oblongifolius"]			173	1853		Legitimate		4415
	Quercus reticulata		13100397	FullnameNoAuthors	Quercus reticulata Bonpl.	Pl. Aequinoct.	2: 40, pl. 86	2		40	1809		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:460&volume=2&issue=&spage=40&date=1809	4415
	Quercus hypoleucoides		13100081	FullnameNoAuthors	Quercus hypoleucoides A. Camus	Bull. Mus. Natl. Hist. Nat., sér. 2	4: 124	4		124	1932		No opinion		4415
	Juniperus deppeana		9400146	FullnameNoAuthors	Juniperus deppeana Steud.	Nomencl. Bot. (ed. 2)	1: 835	1		835	1840		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:655&volume=1&issue=&spage=835&date=1840	4415
	Pinus chihuahuana		24900817	FullnameNoAuthors	Pinus chihuahuana Engelm.	Mem. Tour N. Mexico	103			103	1848		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:41509&volume=&issue=&spage=103&date=1848	4415
	Solanum elaeagnifolium		29602593	FullnameNoAuthors	Solanum elaeagnifolium Cav.	Icon.	3: 22–23, pl. 243	3		22	1794	1795	No opinion		4415
	Sarcobatus vermiculatus		7200276	FullnameNoAuthors	Sarcobatus vermiculatus (Hook.) Torr.	Not. Milit. Reconn.	149			149	1848		No opinion		4415
	Ephedra torreyana		14300034	FullnameNoAuthors	Ephedra torreyana S. Watson	Proc. Amer. Acad. Arts	14: 299–300	14		299	1879		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3934&volume=14&issue=&spage=299&date=1879	4415
	Cowania stansburyana		27802328	FullnameNoAuthors	Cowania stansburyana Torr.	Exped. Great Salt Lake	386, pl. 3			386	1852		No opinion		4415
	Abies concolor		50209282	FullnameNoAuthors	Abies concolor Lindl.	J. Hort. Soc. London	5: 210	5		210	1850		No opinion		4415
	Atriplex confertifolia		7200003	FullnameNoAuthors	Atriplex confertifolia (Torr. & Frém.) S. Watson	Proc. Amer. Acad. Arts	9: 119	9		119	1874		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3934&volume=9&issue=&spage=119&date=1874	4415
	Berberis fremontii		3500171	FullnameNoAuthors	Berberis fremontii Torr.	Rep. U.S. Mex. Bound.	2(1): 30–31	2	1	30	1859		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:213&volume=2&issue=1&spage=30&date=1859	4415
	Juniperus monosperma		9400151	FullnameNoAuthors	Juniperus monosperma (Engelm.) Sarg.	Silva	10: 89	10		89	1896		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:14668&volume=10&issue=&spage=89&date=1896	4415
	Amelanchier utahensis		27800859	FullnameNoAuthors	Amelanchier utahensis Koehne	Gatt. Pomac.	25, pl. 2, f. 20e			25	1890		No opinion		4415
	Quercus gambelii		13100191	FullnameNoAuthors	Quercus gambelii Nutt.	J. Acad. Nat. Sci. Philadelphia, ser. 2	1(2): 179	1	2	179	1848		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:34362&volume=1&issue=2&spage=179&date=1848	4415
	Rhamnus crocea		27500181	FullnameNoAuthors	Rhamnus crocea Nutt.	Fl. N. Amer.	1(2): 261	1	2	261	1838		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:9466&volume=1&issue=2&spage=261&date=1838	4415
	Berberis haematocarpa		3500172	FullnameNoAuthors	Berberis haematocarpa Wooton	Bull. Torrey Bot. Club	25(6): 304–306	25	6	304	1898		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:340&volume=25&issue=6&spage=304&date=1898	4415
	Cercocarpus montanus		27801478	FullnameNoAuthors	Cercocarpus montanus Raf.	Atlantic J.	1(4): 146	1	4	146	1832		No opinion		4415
	Arctostaphylos pungens		12300584	FullnameNoAuthors	Arctostaphylos pungens Kunth	Nov. Gen. Sp. (quarto ed.)	3: 278–279, pl. 259	3		278	1818	1819	Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:640&volume=3&issue=&spage=278&date=1818	4415
	Arctostaphylos pringlei		12300582	FullnameNoAuthors	Arctostaphylos pringlei Parry	Bull. Calif. Acad. Sci.	2(8C): 494–495	2	8C	494	1887		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7412&volume=2&issue=8C&spage=494&date=1887	4415
	Lycium andersonii		29600014	FullnameNoAuthors	Lycium andersonii A. Gray	Proc. Amer. Acad. Arts	7(2): 388	7	2	388	1868		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3934&volume=7&issue=2&spage=388&date=1868	4415
	Cercidium floridum		13028552	FullnameNoAuthors	Cercidium floridum Benth. ex A. Gray	Smithsonian Contr. Knowl.	3(5): 58–59	3	5	58	1852		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:7997&volume=3&issue=5&spage=58&date=1852	4415
	Prunus andersonii		27801085	FullnameNoAuthors	Prunus andersonii A. Gray	Proc. Amer. Acad. Arts	7(2): 337–338	7	2	337	1868		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:3934&volume=7&issue=2&spage=337&date=1868	4415
	Juglans major		16700004	FullnameNoAuthors	Juglans major (Torr.) A. Heller	Muhlenbergia	1(4): 50	1	4	50	1904		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:14224&volume=1&issue=4&spage=50&date=1904	4415
	Chrysothamnus nauseosus		2717980	FullnameNoAuthors	Chrysothamnus nauseosus (Pall. ex Pursh) Britton	Ill. Fl. N. U.S.	3: 326	3		326	1898		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:10850&volume=3&issue=&spage=326&date=1898	4415
	Cowania mexicana		27801497	FullnameNoAuthors	Cowania mexicana D. Don	Trans. Linn. Soc. London	14(3): 575, pl. 22, f. 1–6	14	3	575	1825		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:683&volume=14&issue=3&spage=575&date=1825	4415
	Euphorbia albomarginata		12802047	FullnameNoAuthors	Euphorbia albomarginata Torr. & A. Gray	Pacif. Railr. Rep.	2(4): 174–175	2	4	174	1855	1857	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:11139&volume=2&issue=4&spage=174&date=1855	4415
	Ambrosia ambrosioides		2701647	FullnameNoAuthors	Ambrosia ambrosioides (Cav.) W.W. Payne	J. Arnold Arbor.	45(4): 410	45	4	410	1964		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:480&volume=45&issue=4&spage=410&date=1964	4415
	Hymenoclea monogyra		2710524	FullnameNoAuthors	Hymenoclea monogyra Torr. & A. Gray	Mem. Amer. Acad. Arts, n.s.	4(1): 79–80	4	1	79	1849		No opinion	http://www.biodiversitylibrary.org/openurl?pid=item:49963&spage=79&date=1849	4415
	Garrya wrightii		8700076	FullnameNoAuthors	Garrya wrightii Torr.	Pacif. Railr. Rep.	4(5): 136	4	5	136	1857		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:11139&volume=4&issue=5&spage=136&date=1857	4415
	Juniperus osteosperma		9400345	FullnameNoAuthors	Juniperus osteosperma (Torr.) Little	Leafl. W. Bot.	5(8): 125	5	8	125	1948		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:12586&volume=5&issue=8&spage=125&date=1948	4415
	Cercocarpus betuloides		27801472	FullnameNoAuthors	Cercocarpus betuloides Nutt.	Fl. N. Amer.	1(3): 427	1	3	427	1840		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:9466&volume=1&issue=3&spage=427&date=1840	4415
	Euphorbia polycarpa		12802138	FullnameNoAuthors	Euphorbia polycarpa Benth.	Bot. Voy. Sulphur	50			50	1844		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:908&volume=&issue=&spage=50&date=1844	4415
	Pleuraphis rigida		25518101	FullnameNoAuthors	Pleuraphis rigida Thurb.	Bot. California	2: 293–294	2		293	1880		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:30932&volume=2&issue=&spage=293&date=1880	4415
	Silphium perfoliatum		2711055	FullnameNoAuthors	Silphium perfoliatum L.	Syst. Nat. (ed. 10)	2: 1232	2		1232	1759		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:542&volume=2&issue=&spage=1232&date=1759	4415
	Quercus alba		13100028	FullnameNoAuthors	Quercus alba L.	Sp. Pl.	2: 996	2		996	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=996&date=1753	4415
	Quercus stellata		13100132	FullnameNoAuthors	Quercus stellata Wangenh.	Beschr. Nordamer. Holz-Buschart.	78, pl. 6, f. 15			78	1787		No opinion		4415
	Taxodium distichum		31300230	FullnameNoAuthors	Taxodium distichum (L.) Rich.	Ann. Mus. Natl. Hist. Nat.	16: 298	16		298	1810		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:41507&volume=16&issue=&spage=298&date=1810	4415
	Erigeron canadensis		2700697	FullnameNoAuthors	Erigeron canadensis L.	Sp. Pl.	2: 863	2		863	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=863&date=1753	4415
	Cephalanthus occicentalis														4415
	Solidago altissima		2701316	FullnameNoAuthors	Solidago altissima L.	Sp. Pl.	2: 878–879	2		878	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=878&date=1753	4415
	Aster pilosus		2701873	FullnameNoAuthors	Aster pilosus Willd.	Sp. Pl.	3(3): 2025	3	3	2025	1803		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:727&volume=3&issue=3&spage=2025&date=1803	4415
	Cynodon dactylon		25509471	FullnameNoAuthors	Cynodon dactylon (L.) Pers.	Syn. Pl.	1: 85	1		85	1805		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:638&volume=1&issue=&spage=85&date=1805	4415
	Ambrosia artemisiifolia		2701648	FullnameNoAuthors	Ambrosia artemisiifolia L.	Sp. Pl.	2: 988	2		988	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=988&date=1753	4415
	Croton capitatus		12802018	FullnameNoAuthors	Croton capitatus Michx.	Fl. Bor.-Amer.	2: 214	2		214	1803		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:330&volume=2&issue=&spage=214&date=1803	4415
	Oenothera laciniata		23200804	FullnameNoAuthors	Oenothera laciniata Hill	Veg. Syst.	12(Appendix): 64, pl. 10	12	Appendix	64	1767		No opinion		4415
