FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Chenopodium oahuense		7200250	FullnameNoAuthors	Chenopodium oahuense Aellen								No opinion		4415
	Ilex anomala		2000440	FullnameNoAuthors	Ilex anomala Hook. & Arn.								No opinion		4415
	Tetraplasandra kaalae		2200363	FullnameNoAuthors	Tetraplasandra kaalae (Hillebr.) Harms	Nat. Pflanzenfam.	8: 30	8		30	1894		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:4635&volume=8&issue=&spage=30&date=1894	4415
	Reynoldsia sandwicensis		2200350	FullnameNoAuthors	Reynoldsia sandwicensis A. Gray	U.S. Expl. Exped., Phan.	724			724	1854		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:61410&volume=&issue=&spage=724&date=1854	4415
	Tetraplasandra gymnocarpa		2200355	FullnameNoAuthors	Tetraplasandra gymnocarpa (Hillebr.) Sherff	Bot. Leafl.	7: 12	7		12	1952		No opinion		4415
	Melicope clusiifolia		50254055	FullnameNoAuthors	Melicope clusiifolia (A. Gray) T.G. Hartley & B.C. Stone	Taxon	38(1): 122	38	1	122	1989		No opinion		4415
	Cheirodendron kauaiense		50006262	FullnameNoAuthors	Cheirodendron kauaiense Krajina	Preslia	10: 96	10		96	1931		No opinion		4415
	Cheirodendron helleri		2200040	FullnameNoAuthors	Cheirodendron helleri Sherff	Bot. Leafl.	5: 13	5		13	1951		No opinion		4415
	Tetraplasandra waianensis		2200404	FullnameNoAuthors	Tetraplasandra waianensis O. Deg.	Fl. Hawaii.	fam. 281				1938		No opinion		4415
	Cheirodendron hawaiiensis														4415
	Metrosideros polymorpha		22101760	FullnameNoAuthors	Metrosideros polymorpha Gaudich.								No opinion		4415
	Abies grandis		24900139	FullnameNoAuthors	Abies grandis (Douglas ex D. Don) Lindl.	Penny Cycl.	1: 30	1		30	1833		Legitimate		4415
	Staphylea trifolia		30200017	FullnameNoAuthors	Staphylea trifolia L.	Sp. Pl.	1: 270	1		270	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=270&date=1753	4415
	Betula nigra		3600067	FullnameNoAuthors	Betula nigra L.	Sp. Pl.	2: 982	2		982	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=982&date=1753	4415
	Salix nigra		28300177	FullnameNoAuthors	Salix nigra Marshall	Arbust. Amer.	139–140			139	1785		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:68506&volume=&issue=&spage=139&date=1785	4415
	Polymnia canadensis		2710873	FullnameNoAuthors	Polymnia canadensis L.	Sp. Pl.	2: 926	2		926	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=926&date=1753	4415
	Platanus occidentalis		25300003	FullnameNoAuthors	Platanus occidentalis L.	Sp. Pl.	2: 999	2		999	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=999&date=1753	4415
	Salix longifolia		50131080	FullnameNoAuthors	Salix longifolia Lam.	Fl. Franç.	2: 232	2		232	1778	1779	Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:9461&volume=2&issue=&spage=232&date=1778	4415
	Sambucus canadensis		6000053	FullnameNoAuthors	Sambucus canadensis L.	Sp. Pl.	1: 269	1		269	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=269&date=1753	4415
	Corylus americana		3600025	FullnameNoAuthors	Corylus americana Walter	Fl. Carol.	236			236	1788		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:9458&volume=&issue=&spage=236&date=1788	4415
	Oenothera speciosa		23200600	FullnameNoAuthors	Oenothera speciosa Nutt.	J. Acad. Nat. Sci. Philadelphia	2(1): 119–120	2	1	119	1821		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:34362&volume=2&issue=1&spage=119&date=1821	4415
	Glycine max		13043775	FullnameNoAuthors	Glycine max (L.) Merr.	Interpr. Herb. Amboin.	274			274	1917		Legitimate		4415
	Quercus ilicifolia		50278068	FullnameNoAuthors	Quercus ilicifolia Salisb.	Prodr.	16(2): 392	16	2	392	1864		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=16&issue=2&spage=392&date=1864	4415
	Nyssa sylvatica		8700079	FullnameNoAuthors	Nyssa sylvatica Marshall	Arbust. Amer.	97–98			97	1785		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:68506&volume=&issue=&spage=97&date=1785	4415
	Cornus drummondii		8700017	FullnameNoAuthors	Cornus drummondii C.A. Mey.	Cornus-Arten	20–21			20	1845		No opinion		4415
	Carya illinoensis														4415
	Vitis cinerea		34000015	FullnameNoAuthors	Vitis cinerea (Engelm.) Engelm. ex Millardet	Mém. Soc. Sci. Phys. Nat. Bordeaux	2: 319	2		319	1880		Legitimate		4415
	Cornus stricta		8700139	FullnameNoAuthors	Cornus stricta Lam.	Encycl.	2(1): 116	2	1	116	1786		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:824&volume=2&issue=1&spage=116&date=1786	4415
	Fraxinus pennsylvanica		23000144	FullnameNoAuthors	Fraxinus pennsylvanica Marshall	Arbust. Amer.	51–52			51	1785		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:68506&volume=&issue=&spage=51&date=1785	4415
	Ampelopsis arborea		34000190	FullnameNoAuthors	Ampelopsis arborea (L.) Koehne	Deut. Dendrol.	400			400	1893		No opinion		4415
	Aesculus glabra		15500003	FullnameNoAuthors	Aesculus glabra Willd.	Enum. Pl.	1: 405–406	1		405	1809		No opinion		4415
	Acer saccharinum		200038	FullnameNoAuthors	Acer saccharinum L.	Sp. Pl.	2: 1055	2		1055	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=1055&date=1753	4415
	Heliomeris multiflora		2710426	FullnameNoAuthors	Heliomeris multiflora Nutt.	Proc. Acad. Nat. Sci. Philadelphia	4(1): 19	4	1	19	1848		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:6885&volume=4&issue=1&spage=19&date=1848	4415
	Grayia spinosa		7200665	FullnameNoAuthors	Grayia spinosa (Hook.) Moq.	Prodr.	13(2): 119	13	2	119	1849		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=13&issue=2&spage=119&date=1849	4415
	Tetradymia glabrata		2723925	FullnameNoAuthors	Tetradymia glabrata Torr. & A. Gray	Pacif. Railr. Rep.	2(1): 122, pl. 5	2	1	122	1857		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:11139&volume=2&issue=1&spage=122&date=1857	4415
	Coleogyne ramosissima		27801493	FullnameNoAuthors	Coleogyne ramosissima Torr.	Smithsonian Contr. Knowl.	6(2): 8–10, pl. 4	6	2	8	1853		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:7997&volume=6&issue=2&spage=8&date=1853	4415
	Symphoricarpos oreophilus		6000163	FullnameNoAuthors	Symphoricarpos oreophilus A. Gray	J. Linn. Soc., Bot.	14(73): 12	14	73	12	1873		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:350&volume=14&issue=73&spage=12&date=1873	4415
	Hudsonia tomentosa		7600070	FullnameNoAuthors	Hudsonia tomentosa Nutt.	Gen. N. Amer. Pl.	2: 5	2		5	1818		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:290&volume=2&issue=&spage=5&date=1818	4415
	Tsuga canadensis		24900236	FullnameNoAuthors	Tsuga canadensis (L.) Carrière	Traité Gén. Conif.	189			189	1855		No opinion		4415
	Quercus palustris		13100212	FullnameNoAuthors	Quercus palustris Münchh.	Hausvater	5(1): 253	5	1	253	1770		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:13511&volume=5&issue=1&spage=253&date=1770	4415
	Betula populifolia		3600074	FullnameNoAuthors	Betula populifolia Marshall	Arbust. Amer.	19			19	1785		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:68506&volume=&issue=&spage=19&date=1785	4415
	Physocarpus opulifolius		27801003	FullnameNoAuthors	Physocarpus opulifolius (L.) Maxim.	Trudy Imp. S.-Peterburgsk. Bot. Sada	6(1): 220	6	1	220	1879		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:14650&volume=6&issue=1&spage=220&date=1879	4415
	Kalmia latifolia		12300612	FullnameNoAuthors	Kalmia latifolia L.	Sp. Pl.	1: 391	1		391	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=391&date=1753	4415
	Vitis rotundifolia		34000024	FullnameNoAuthors	Vitis rotundifolia Michx.	Fl. Bor.-Amer.	2: 231	2		231	1803		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:330&volume=2&issue=&spage=231&date=1803	4415
	Phlox subulata		25800441	FullnameNoAuthors	Phlox subulata L.	Sp. Pl.	1: 152–153	1		152	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=152&date=1753	4415
	Quercus phellus														4415
	Quercus phellos		13100284	FullnameNoAuthors	Quercus phellos L.	Sp. Pl.	2: 994	2		994	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=994&date=1753	4415
	Carpinus caroliniana		3600080	FullnameNoAuthors	Carpinus caroliniana Walter	Fl. Carol.	236			236	1788		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:9458&volume=&issue=&spage=236&date=1788	4415
	Galium aparine		27900076	FullnameNoAuthors	Galium aparine L.	Sp. Pl.	1: 108	1		108	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=1&issue=&spage=108&date=1753	4415
	Arenaria caroliniana		6301885	FullnameNoAuthors	Arenaria caroliniana Walter	Fl. Carol.	141			141	1788		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:9458&volume=&issue=&spage=141&date=1788	4415
	Muhlenbergia reverchonii		25512212	FullnameNoAuthors	Muhlenbergia reverchonii Vasey & Scribn.	Contr. U.S. Natl. Herb.	3(1): 66	3	1	66	1892		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:687&volume=3&issue=1&spage=66&date=1892	4415
	Schizachyrium scoparium		25516652	FullnameNoAuthors	Schizachyrium scoparium (Michx.) Nash	Fl. S.E. U.S.	59			59	1903		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:133&volume=&issue=&spage=59&date=1903	4415
	Cardaria draba		4100110	FullnameNoAuthors	Cardaria draba (L.) Desv.	J. Bot. Agric.	3(4): 163	3	4	163	1814	1815	No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:14238&volume=3&issue=4&spage=163&date=1814	4415
