id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
3726	aristata	Pinus	Pinaceae	stellatus	Phytocoris	Mirini	Miridae	6296	8151	36447	67464	62	554	661	137	2	1.46	9	0	0	0	LOW
3727	ponderosa	Pinus	Pinaceae	stellatus	Phytocoris	Mirini	Miridae	6296	8151	36447	67464	62	554	879	137	5	3.65	12	0	0	0	MEDIUM
3728	flexilis	Pinus	Pinaceae	luridus	Pappus	Mirini	Miridae	6296	8151	74294	76212	62	554	747	26	10	38.46	59	0	4	0	HIGH
3729	aristata	Pinus	Pinaceae	luridus	Pappus	Mirini	Miridae	6296	8151	74294	76212	62	554	661	26	3	11.54	16	0	0	0	LOW
3730	contorta	Pinus	Pinaceae	luridus	Pappus	Mirini	Miridae	6296	8151	74294	76212	62	554	707	26	2	7.69	44	0	0	0	LOW
3731	lasiocarpa	Abies	Pinaceae	piceicola	Pappus	Mirini	Miridae	6296	8151	74294	76215	62	394	800	11	3	27.27	5	0	0	0	MEDIUM
3732	engelmannii	Picea	Pinaceae	pemptos	Plagiognathus	Phylini	Miridae	6296	6292	6132	518	62	553	4917	57	9	15.79	5	0	0	0	HIGH
3733	fruticosa	Potentilla	Rosaceae	montanus	Orectoderus	Pronotocrepini	Miridae	6296	6306	6325	6337	376	564	752	95	2	2.11	28	0	0	0	LOW
3734	aristata	Pinus	Pinaceae	incertus	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	59955	62	554	661	166	1	0.60	1	0	0	0	LOW
3735	fruticosa	Potentilla	Rosaceae	rugulipennis	Lygus	Mirini	Miridae	6296	8151	8152	67472	376	564	752	45	1	2.22	4	0	0	0	LOW
3736	fruticosa	Potentilla	Rosaceae	pulicarius	Chlamydatus	Phylini	Miridae	6296	6292	5807	95	376	564	752	279	1	0.36	10	0	0	0	LOW
3737	contorta	Pinus	Pinaceae	suffuscipennis	Plagiognathus	Phylini	Miridae	6296	6292	6132	368	62	554	707	128	2	1.56	2	0	0	0	LOW
