Pinus contorta
Picea glauca
Potentilla fruticosa
Salix interior
Suaeda erecta
Juniperus communis
Juniperus horizontalis
Pinus banksiana
Pinus ponderosa
Artemisia tridentata
Purshia tridentata
Abies lasiocarpa
Cytisus scoparius
Quercus macrocarpa
Pinus strobus
Gleditsia triacanthos
Robinia pseudoacacia
Juniperus virginiana
Tilia americana
Picea abies
Ambrosia dumosa
Atriplex canescens
Prosopis juliflora
Adenostoma fasciculatum
Lotus scoparius
Eriogonum fasciculatum
Pinus monophylla
Ceanothus greggii
Baccharis halimifolia
Pinus virginiana
Quercus turbinella
Acacia greggii
Larrea divaricata
Pinus edulis
Robinia neomexicanus
Quercus arizonica
Quercus hypoleucoides
Sarcobatus vermiculatus
Quercus gambelii
Rhamnus crocea
Berberis fremontii
Lycium andersonii
Chrysothamnus nauseosus
Cowania mexicana
Juniperus osteosperma
Cercocarpus montanus
Silphium perfoliatum
Eragrostis curvula
Taxodium distichum
Cynodon dactylon
Euphorbia maculata
Abies concolor
Ceanothus cuneatus
Pinus sabiniana
Ceanothus cordulatus
Tiquilia palmeri
Psorothamnus emoryi
Purshia glandulosa
Psorothamnus polydenius
Ephedra nevadensis
Ericameria nauseosa
Calocedrus decurrens
Cercocarpus betuloides
Salazaria mexicana
Prunus fasciculata
Lycium cooperi
Quercus garryana
Juniperus occidentalis
Quercus agrifolia
Salvia dorrii
Cercocarpus ledifolius
Atriplex confertifolia
Psorothamnus fremontii
Ribes cereum
Adenostoma fasiculata
Adenostoma sparsifolium
Ceanothus crassifolius
Adenostoma fasciculata
Eriogonum fastigiatum
Artemisia californica
Arctostaphylos drupacea
Baccharis pilularis
Abies procera
Pinus flexilis
Picea engelmannii
Salix amygdaloides
Pseudotsuga menziesii
Shepherdia canadensis
Ceratiola ericoides
Ilex amnicola
Cheirodendron trigynum
Tetraplasandra hawaiensis
Polyscias sandwicensis
Acacia koa
Ilex anomala
Tetraplasandra kaalae
Reynoldsia sandwicensis
Cheirodendron helleri
Staphylea trifolia
Sambucus canadensis
Corylus americana
Quercus ilicifolia
Quercus alba
Carya illinoensis
Vitis cinerea
Aesculus glabra
Tsuga canadensis
Physocarpus opulifolius
Kalmia latifolia
Vitis rotundifolia
Betula nigra
Platanus occicentalis
Carpinus caroliniana
Abies grandis
Castanopsis chrysophylla
Abies amabilis
Quercus virginiana
