FullNameNoAuthors
Pinus contorta
Picea glauca
Picea pungens
Pinus sylvestris
Potentilla fruticosa
Artemisia frigida
Lupinus argenteus
Galium boreale
Populus tremuloides
Salix interior
Salix bebbiana
Descurainia sophia
Suaeda erecta
Shepherdia canadensis
Juniperus communis
Medicago sativa
Artemisia cana
Symphoricarpos occidentalis
Juniperus horizontalis
Pinus banksiana
Chenopodium album
Pinus ponderosa
Artemisia tridentata
Pseudotsuga menziesii
Purshia tridentata
Pinus albicaulis
Abies lasiocarpa
Pinus monticola
Ceanothus velutinus
Verbascum thapsus
Balsamorhiza sagittata
Cytisus scoparius
Ericameria nauseosa
Corylus cornuta
Holodiscus discolor
Alnus rubra
Sisymbrium altissimum
Clematis ligusticifolia
Caragana arborescens
Quercus macrocarpa
Ambrosia trifida
Pinus strobus
Thuja occidentalis
Fraxinus excelsior
Gleditsia triacanthos
Larix laricina
Ulmus americana
Comptonia peregrina
Robinia pseudoacacia
Juniperus virginiana
Tilia americana
Pinus resinosa
Pinus rigida
Picea abies
Juglans nigra
Quercus rubra
Pinus nigra
Acer negundo
Ambrosia dumosa
Atriplex canescens
Prosopis juliflora
Ceanothus cuneatus
Adenostoma fasciculatum
Lotus scoparius
Eriodictyon angustifolium
Eriogonum fasciculatum
Quercus chrysolepis
Pinus monophylla
Larrea tridentata
Ceanothus greggii
Juniperus californica
Cercocarpus breviflorus
Chrysothamnus viscidiflorus
Parthenium incanum
Ephedra trifurca
Parthenium hysterophorus
Quercus grisea
Datura discolor
Eupatorium adenophorum
Quercus virginianus
Recchia mexicana
Ipomoea walcotiana
Buddleja wrightii
Quercus emoryi
Pinus edulis
Mimosa polyantha
Hyptis suaveolens
Baccharis halimifolia
Pinus virginiana
Eragrostis curvula
Quercus arizonica
Lycium pallidum
Quercus turbinella
Fallugia paradoxa
Acacia greggii
Picea engelmannii
Pinus flexilis
Larrea divaricata
Ericameria bloomeri
Rhus microphylla
Robinia neomexicanus
Quercus undulata
Quercus oblongifolia
Quercus reticulata
Quercus hypoleucoides
Juniperus deppeana
Pinus chihuahuana
Solanum elaeagnifolium
Sarcobatus vermiculatus
Ephedra torreyana
Cowania stansburyana
Abies concolor
Atriplex confertifolia
Berberis fremontii
Juniperus monosperma
Amelanchier utahensis
Quercus gambelii
Rhamnus crocea
Berberis haematocarpa
Cercocarpus montanus
Arctostaphylos pungens
Arctostaphylos pringlei
Lycium andersonii
Cercidium floridum
Prunus andersonii
Juglans major
Chrysothamnus nauseosus
Cowania mexicana
Euphorbia albomarginata
Ambrosia ambrosioides
Hymenoclea monogyra
Garrya wrightii
Juniperus osteosperma
Cercocarpus betuloides
Euphorbia polycarpa
Pleuraphis rigida
Silphium perfoliatum
Quercus alba
Quercus stellata
Taxodium distichum
Erigeron canadensis
Cephalanthus occicentalis
Solidago altissima
Aster pilosus
Cynodon dactylon
Ambrosia artemisiifolia
Croton capitatus
Oenothera laciniata
Helenium amarum
Euphorbia maculata
Juniperus chinensis
Carya illinoinensis
Quercus douglasii
Quercus agrifolia
Eriodictyon californicum
Quercus wislizeni
Quercus lobata
Ceanothus integerrimus
Pinus sabiniana
Picea sitchensis
Ceanothus cordulatus
Tiquilia palmeri
Psorothamnus emoryi
Dichoria canescens
Dicoria canescens
Dalea emoryi
Encelia farinosa
Hymenoclea salsola
Camissonia claviformis
Sphaeralcea ambigua
Bebbia juncea
Purshia glandulosa
Iva axillaris
Ambrosia acanthicarpa
Psorothamnus polydenius
Encelia actonii
Ephedra nevadensis
Calocedrus decurrens
Tetradymia stenolepis
Salazaria mexicana
Quercus x alvordiana
Fremontodendron californicum
Quercus john-tuckeri
Prunus fasciculata
Lycium cooperi
Quercus garryana
Juniperus occidentalis
Artemisia californica
Ambrosia psilostachya
Artemisia douglasiana
Acamptopappus sphaerocephalus
Salvia dorrii
Sylibum marianum
Ambrosia confertiflora
Arctostaphylos viscida
Libocedrus decurrens
Cercocarpus ledifolius
Psorothamnus fremontii
Pinus radiata
Phacelia distans
Marah macrocarpus
Salvia mellifera
Quercus dumosa
Quercus engelmanni
Ribes cereum
Eriodictyon crassifolium
Adenostoma fasiculata
Adenostoma sparsifolium
Ceanothus crassifolius
Adenostoma fasciculata
Ceanothus crassifolia
Eriogonum fastigiatum
Olneya tesota
Quercus palmeri
Sambucus mexicana
Quercus kellogii
Quercus x acutidens
Galium angustifolium
Psorothamnus schotti
Amorpha californica
Ceanothus rigidus
Rhamnus californica
Arctostaphylos drupacea
Eriodictyon trichocalyx
Stanleya pinnata
Quercus berberidifolia
Gutierrezia sarothrae
Rhus laurina
Lupinus arboreus
Baccharis pilularis
Carduus pycnocephalus
Pseudoroegneria spicata
Agropyron spicatum
Chrysothamnus nauseosus consimilis
Pinus attenuata
Abies procera
Pinus aristata
Salix amygdaloides
Artemisia filifolia
Elymus cinereus
Geranium viscosissimum
Platanus occicentalis
Ceratiola ericoides
Quercus virginiana
Spartina patens
Pinus clausa
Satureja ashei
Chrysoma pauciflosculosa
Pinus elliottii
Polygonella americana
Ilex amnicola
Cheirodendron trigynum
Tetraplasandra hawaiensis
Tetraplasandra meiandra
Polyscias sandwicensis
Acacia koa
Chenopodium oahuense
Ilex anomala
Tetraplasandra kaalae
Reynoldsia sandwicensis
Tetraplasandra gymnocarpa
Melicope clusiifolia
Cheirodendron kauaiense
Cheirodendron helleri
Tetraplasandra waianensis
Cheirodendron hawaiiensis
Metrosideros polymorpha
Abies grandis
Staphylea trifolia
Betula nigra
Salix nigra
Polymnia canadensis
Platanus occidentalis
Salix longifolia
Sambucus canadensis
Corylus americana
Oenothera speciosa
Glycine max
Quercus ilicifolia
Nyssa sylvatica
Cornus drummondii
Carya illinoensis
Vitis cinerea
Cornus stricta
Fraxinus pennsylvanica
Ampelopsis arborea
Aesculus glabra
Acer saccharinum
Heliomeris multiflora
Grayia spinosa
Tetradymia glabrata
Coleogyne ramosissima
Symphoricarpos oreophilus
Hudsonia tomentosa
Tsuga canadensis
Quercus palustris
Betula populifolia
Physocarpus opulifolius
Kalmia latifolia
Vitis rotundifolia
Phlox subulata
Quercus phellus
Quercus phellos
Carpinus caroliniana
Galium aparine
Arenaria caroliniana
Muhlenbergia reverchonii
Schizachyrium scoparium
Cardaria draba
Castanopsis chrysophylla
Fraxinus latifolia
Bromus mollis
Festuca arundinacea
Poa secunda
Abies amabilis
Amelanchier alnifolia
Larix decidua
Hypericum lloydii
Muhlenbergia lindheimeri
Tiquilia greggii
Pinus cembroides
Atriplex matamorensis
Psorothamnus thompsonae
Rhus triloba
Tetradymia spinosa
