id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
1068	leiophylla	Pinus	Pinaceae	anasazi	Dichaetocoris	Orthotylini	Miridae	6296	6291	5849	916	62	554	4920	18	1	5.56	8	0	0	0	LOW
1069	glutinosa	Baccharis	Asteraceae	hesperus	Lygus	Mirini	Miridae	6296	8151	8152	50719	98	1160	1414	1504	3	0.20	1	0	0	0	LOW
1070	microphyllus	Rhus	Anacardiaceae	grandis	Plagiognathus	Phylini	Miridae	6296	6292	6132	334	85	577	8693	63	1	1.59	7	0	0	0	LOW
1071	neomexicanus	Robinia	Fabaceae	albidicoxis	Atractotomus	Phylini	Miridae	6296	6292	5750	2898	211	579	8701	19	8	42.11	21	0	0	0	HIGH
1072	betuloides	Cercocarpus	Rosaceae	tinctipennis	Reuteroscopus	Phylini	Miridae	6296	6292	6175	5143	376	448	674	46	1	2.17	22	0	0	0	LOW
1073	augustifolia	Sphaeralcea	Malvaceae	confraterna	Lopidea	Orthotylini	Miridae	6296	6291	6002	1435	286	596	9692	144	1	0.69	3	0	0	0	LOW
1074	rugosus	Philadelphus	Hydrangeaceae	tenellus	Plagiognathus	Phylini	Miridae	6296	6292	6132	370	247	549	900	3	1	33.33	2	0	0	0	LOW
1075	major	Juglans	Juglandaceae	juglandis	Ceratocapsus	Ceratocapsini	Miridae	6296	34068	5802	774	257	509	4945	5	1	20.00	2	0	0	0	LOW
1076	undulata	Quercus	Fagaceae	grandiculus	Roburocoris	Phylini	Miridae	6296	6292	7436	7619	68	571	1279	12	1	8.33	1	0	0	0	LOW
1077	undulata	Quercus	Fagaceae	ovatus	Atractotomus	Phylini	Miridae	6296	6292	5750	2939	68	571	1279	51	2	3.92	27	0	0	0	MEDIUM_HIGH
1078	undulata	Quercus	Fagaceae	vigilax	Neoborops	Mirini	Miridae	6296	8151	52835	52836	68	571	1279	32	3	9.38	6	0	0	0	LOW
